regulon	evl(30epi)	dorsal margin(30epi)	non-dorsal margin(30epi)	ectoderm(30epi)	apoptosis like(30epi)	ysl(30epi)	dorsal posterior(50epi)	dorsal ectoderm(50epi)	ventrolateral mesoendoderm(50epi)	ventral ectoderm(50epi)	margin tail(50epi)	evl(50epi)	ysl(50epi)	dorsal anterior(50epi)	apoptosis like(50epi)	spinal cord(6somite)	epidermis(6somite)	somite(6somite)	optic primordium(6somite)	psm(6somite)	midbrain(6somite)	tailbud(6somite)	hindbrain(6somite)	lens placode(6somite)	otic placode(6somite)	endoderm(6somite)	neural crest(6somite)	notochord(6somite)	posterior neural plate border(6somite)	heart field(6somite)	pronephric duct+blood island(6somite)	telencephalon(6somite)	olfactory/adenohypophyseal placode(6somite)	hatching gland(6somite)	ventral diencephalon(6somite)	differentiating neuron(6somite)	dorsal diencephalon(6somite)	evl(6somite)	adaxial cells(6somite)	ysl(6somite)	cephalic mesoderm(6somite)	ionocyte progenitors(6somite)	neural floorplate(6somite)	endothelial progenitors(6somite)	epidermis(75epi)	endoderm(75epi)	neural plate posterior(75epi)	evl(75epi)	lateral plate mesoderm(75epi)	margin tail(75epi)	neural plate anterior(75epi)	adaxial cells(75epi)	psm(75epi)	prechordal plate(75epi)	notochord(75epi)	ysl(75epi)	forerunner cells(75epi)	cephalic mesoderm(bud)	spinal cord(bud)	anterior neural plate border(bud)	tailbud(bud)	ventral diencephalon(bud)	epidermis(bud)	midbrain(bud)	ysl(bud)	telencephalon(bud)	hindbrain(bud)	psm(bud)	lateral plate mesoderm(bud)	posterior neural plate border(bud)	evl(bud)	optic primordium(bud)	notochord(bud)	endoderm(bud)	adaxial cells(bud)	dorsal diencephalon(bud)	hatching gland(bud)	non-dorsal margin(dome)	ectoderm(dome)	evl(dome)	dorsal margin(dome)	apoptosis like(dome)	ysl(dome)	high cells	deep cells(oblong)	evl(oblong)	margin tail(shield)	ventral ectoderm(shield)	ventrolateral mesoderm(shield)	dorsal posterior(shield)	dorsal ectoderm(shield)	endoderm(shield)	evl(shield)	ysl(shield)	dorsal anterior(shield)
TCF4	0.204734392207408	0.172400533322979	0.17575977683185	0.187082059303842	0.168281224650811	0.169556710472179	0.173749951339949	0.196191136768472	0.1837737979426	0.196358039137393	0.185809577763326	0.250520002344509	0.169564517958072	0.171087619689031	0.170693440186384	0.198591947231043	0.195349437887585	0.184139294998832	0.184221757779365	0.174876621353738	0.18403220596692	0.174223421281965	0.179025241062603	0.174292082064586	0.176867047206147	0.174442200786509	0.175991733665818	0.173970851935019	0.188305299100922	0.176790666631844	0.17283781048004	0.173918556692435	0.176757956641722	0.172247915111259	0.171866308548271	0.173654700073826	0.173089307587815	0.194786964484264	0.172248953916577	0.168934116689828	0.172953247289453	0.171458387864455	0.170163968274732	0.168787793967626	0.194724672043441	0.173329832503769	0.188260073926224	0.238510623888496	0.180065318987159	0.179786823276642	0.210396090884833	0.171537732358533	0.178755088603126	0.175683315597276	0.175831071038049	0.170096728356526	0.169133331413686	0.176204255327842	0.204407736108067	0.19090076396859	0.179555844422223	0.177801570490652	0.19071151144318	0.181129466157897	0.172040672879471	0.175894730352807	0.184930731461924	0.193318710721345	0.180703466871203	0.191344260805097	0.217681211688059	0.186000611647455	0.175667279959868	0.176350812119212	0.173980100583335	0.177312434023249	0.174526282682901	0.174019670370707	0.187689566875989	0.202769153941906	0.171166005830665	0.168544513402762	0.168486244460767	0.179153094649593	0.187354942074869	0.177311792450911	0.194465877578956	0.202003205030031	0.193693123711776	0.175440760686686	0.224566670778678	0.174806453007765	0.278154012731925	0.170036847273107	0.17200052771661
atf3	0.175788115292367	0.17722641655377	0.184467644366904	0.21415105507648	0.169798377564671	0.171225420124332	0.179248983244354	0.232918882125499	0.191856826277619	0.219191918966567	0.196631758895235	0.176809496139546	0.172049468612306	0.172061066159701	0.174219460516256	0.199222441031932	0.183463473496069	0.184925702525832	0.183764412286074	0.177387866899262	0.185280584133864	0.17471369866668	0.17887706615363	0.172577184194315	0.175683731584968	0.172013504275104	0.177597147881522	0.170576245950607	0.178832231530306	0.175003663864427	0.171998390554777	0.172629826364691	0.174984804577906	0.169514763628921	0.171228631125267	0.172477331190452	0.172997443799154	0.171613382757023	0.171936502659231	0.170365329189727	0.17328988943105	0.16992930712573	0.168802521951742	0.168309020027513	0.196816919864944	0.173645104884407	0.186345855510123	0.17186377770656	0.17899830581708	0.178734623126685	0.223922770328864	0.170211578989485	0.179568024946589	0.173707881390831	0.174453334918637	0.173548746840591	0.167698303443283	0.179003088912184	0.203314470228507	0.203247418403645	0.180183625857203	0.177828910173399	0.189683976573565	0.182682700333493	0.175902700898781	0.179456675133714	0.186029075093678	0.195582124736985	0.184178448572404	0.191475463122529	0.173731509030131	0.187132106808899	0.172317377022274	0.175096416744973	0.173788207362069	0.176526413444618	0.173170339303495	0.181902049047197	0.220427549128731	0.17790343803236	0.17563992374504	0.17052131229614	0.169373709554385	0.19150358368761	0.230255966969223	0.183838770995512	0.20465065756372	0.210581304696876	0.200641501255073	0.177605596446651	0.257447872629731	0.176907349657587	0.176467135941617	0.172863658498827	0.173235013907384
bhlha15	0.173196761582058	0.1704340402192	0.174108865934461	0.176056765695843	0.168058823812503	0.168290333229229	0.173940778622103	0.183849024687454	0.185332277625161	0.192631140124253	0.186906525301523	0.180809318804212	0.169453173543863	0.176296990964846	0.170727434053193	0.210898618393089	0.198677830153559	0.208746421359868	0.201236420710256	0.185567479940163	0.189534444883358	0.182964474660875	0.182789302781568	0.175305030785795	0.180056292845541	0.181036634101479	0.18010370345048	0.186189566779691	0.19704652409151	0.183431252561636	0.176897905632223	0.177283214982361	0.180565476055564	0.193297163481848	0.17536421591787	0.175350507345123	0.175926036998357	0.17900494666786	0.178364947316769	0.170094453681848	0.179152867456198	0.172809983855527	0.17160271570314	0.169279393206056	0.196395694736989	0.177638523211281	0.187531790666206	0.186362768128015	0.187296324608201	0.183263817974221	0.200798434230786	0.174237907397064	0.184334721333972	0.188080509526074	0.184699593930247	0.172532634712259	0.169111880784831	0.188555968135336	0.207015404172203	0.190279544964359	0.190255357250525	0.183226726359049	0.195873648055025	0.183236357545037	0.176897354404761	0.176934494984498	0.186055173785628	0.222541270524795	0.190724022754273	0.195593932229356	0.18562344721912	0.195501710261477	0.192916883475755	0.18267614069161	0.182186193213566	0.18169728428032	0.210162938539287	0.171754982382651	0.174599391159286	0.172483248360268	0.169243849425971	0.168043859918127	0.167832095817676	0.174337981858337	0.178149154877395	0.168713732982908	0.198116543381135	0.209853215097448	0.203885595462281	0.18155198553491	0.20996013020238	0.178770711191341	0.188866769464943	0.171707660075797	0.182495277141397
bhlhe41	0.169437654001142	0.170860537953905	0.172377068798435	0.180612872844751	0.168107913932907	0.169275545536184	0.171296337340991	0.190859320811561	0.180346253091843	0.190783116245318	0.18091809106666	0.179409466643746	0.172685979957976	0.170899721369444	0.170196116359159	0.211664049692755	0.201985823729217	0.210426991418491	0.194814065347467	0.184931344844408	0.192700746993581	0.180118245520807	0.184860769271107	0.176587250739244	0.183834576726342	0.176843886360748	0.182750386858185	0.179837352600055	0.193538659050514	0.1852089164413	0.178397577917954	0.176006112648484	0.183038761908438	0.172664046911595	0.172472418064034	0.175186149922176	0.176017137540217	0.178900399449131	0.178403618503997	0.186665044450122	0.179430441527291	0.172651008532701	0.169868983593275	0.169587171995008	0.200246634626387	0.174245970499764	0.191560599405682	0.187854774271936	0.185350106944538	0.181203465882668	0.215090418609105	0.173613086267917	0.181554530838138	0.17437131023827	0.176240247033235	0.187265378130077	0.168072154328977	0.186064119011249	0.213413829840908	0.201317293578068	0.187950951104997	0.177445521260418	0.20120515786333	0.188183804233169	0.209335198056084	0.180603687192969	0.193273449665648	0.223438895859161	0.192506023907521	0.199295496809012	0.185072099999759	0.193428579240348	0.180940114705238	0.179105217779879	0.180457563647289	0.182573158372084	0.174265378581223	0.170241849758931	0.178849817113382	0.168677026435773	0.169087654378786	0.167952029701373	0.168218419425877	0.176842867440511	0.181321633895122	0.169180868890469	0.190194835748409	0.199973724730875	0.197349135260795	0.174733240524712	0.219600450429209	0.173584081973902	0.191533983951707	0.179554207489275	0.172089323714889
cebpb	0.20896708152114	0.172491034970323	0.176001472886253	0.188876536851008	0.168377871723407	0.170246169274692	0.173514389785624	0.198275403682095	0.185831858638359	0.196120435228536	0.184881856659638	0.256836647239175	0.170446917591638	0.171324932290623	0.170661538060676	0.196010712148732	0.194189581147304	0.18305093514032	0.183087255888395	0.174668852410562	0.182785831090888	0.173522164847258	0.178005591097596	0.174077009315393	0.176735067802986	0.173986057062208	0.175556292684077	0.172464441752915	0.185984739366001	0.176037401124769	0.172267689447932	0.173821458327805	0.17657856096226	0.171341419179252	0.171543189716644	0.173582661619437	0.172766140712807	0.194761090239813	0.171914833625883	0.169436060588696	0.17248860224278	0.171375954002166	0.16964137473279	0.168566051220228	0.192909267718844	0.172656177448722	0.185060266237975	0.240702530429902	0.179852734902506	0.177717985281919	0.207544779945017	0.171128105153812	0.177627354353758	0.175337922838227	0.174308154360014	0.171435858069875	0.168420309870101	0.1760099810582	0.199832371035026	0.19139978610859	0.177573897592047	0.176513021164021	0.190518619188747	0.179100574224962	0.17352403797151	0.176089236755096	0.18236746986024	0.192023058540687	0.180296848086422	0.189122412243502	0.218243564191664	0.18496940237741	0.173591087720075	0.175154536741728	0.173301187564533	0.1763066522698	0.173336470534515	0.174627823013544	0.190717880505007	0.20774173158457	0.171356059846378	0.168721442870012	0.168902479112447	0.180624949391563	0.190675491411851	0.180692374471213	0.192300662635126	0.200021387613607	0.194352538057767	0.17492939780764	0.22393294455356	0.174685040792876	0.28543582694266	0.171290919115379	0.171775681580807
ctcf	0.170579578232779	0.178957306874777	0.186304401599644	0.218329422215931	0.169877050530681	0.169210170986248	0.180727557377027	0.24071151994384	0.196801601085043	0.23954686214944	0.206613502355297	0.170364383099726	0.169112386575754	0.173946689513241	0.176070345209781	0.193628661837592	0.176958358477275	0.181454431282296	0.179542473231766	0.176180399496274	0.182204316071909	0.17443491019848	0.176562256742795	0.17029536430177	0.17403274531583	0.171053735601489	0.175306084144203	0.170469540525695	0.176126064427458	0.174359072113191	0.172230228302542	0.173230957501216	0.174132263305203	0.168786817909541	0.17103248673312	0.172127633918838	0.172461727593405	0.16990204277932	0.169945275460235	0.167914818214157	0.171796336506222	0.169032438637594	0.168513893545565	0.168158855653692	0.204812764025807	0.174631441051005	0.1940941133217	0.17003121190483	0.183588370059428	0.183176574422678	0.234944473548039	0.172025855355593	0.182416184301444	0.173058287162136	0.175393754789559	0.169446713349635	0.167878627368363	0.176429240939902	0.202387022119296	0.192767619202021	0.181200688078353	0.17780860753834	0.181823018531258	0.181945279441684	0.170267585010364	0.178499377540931	0.185212800096379	0.195313732042259	0.182241810590275	0.188481471899068	0.170517086006867	0.187464715634938	0.172248283637384	0.174418778615254	0.1725556316617	0.177368602952887	0.170479813109367	0.184542787699187	0.228096453842531	0.172202762839311	0.177778440297515	0.170811035785659	0.168459156072236	0.179566293979463	0.206502427372781	0.174963031427114	0.214595835179354	0.233286828538051	0.211735277477193	0.179353134067846	0.2820535118268	0.178752919341119	0.171548283307923	0.16899127426053	0.173760806411924
dmbx1a	0.168650772706717	0.172360230125576	0.174474438161453	0.185452970032627	0.167728072444124	0.168356165089505	0.172079684097024	0.19507154514694	0.181622221277424	0.19769966398717	0.180330360160932	0.168138751172303	0.167948013585254	0.175555286202709	0.169815980208162	0.218835100012009	0.178686239067463	0.1933209185133	0.202071039936968	0.180966436218716	0.217213384892985	0.17907756004211	0.188496656195424	0.175262298064278	0.177877907719976	0.173262352113694	0.187788145417623	0.174308037842158	0.178635388337997	0.175235982278421	0.171663241435581	0.180385514822093	0.189169483835397	0.169062602062602	0.176612228944391	0.173445526173175	0.186169423310022	0.169489289799893	0.174747491619063	0.167765295292588	0.176453837849623	0.168001685048571	0.170077192964782	0.168052188755219	0.19984390048203	0.177016705149395	0.195038801518022	0.168637685006971	0.184329830206506	0.179344413483196	0.24321214561767	0.172534097199772	0.177658094830851	0.177081001343844	0.172952205553609	0.168726059936675	0.168050332820333	0.186998442221947	0.224117052778402	0.208012310583611	0.183540450199123	0.191256638597055	0.188527875213779	0.214842904147606	0.170538464596855	0.197457802192942	0.208416456893012	0.20268799373399	0.17967496827494	0.191132762423081	0.169571262636025	0.224400573180723	0.175150454146786	0.179430038534452	0.178373495524886	0.202649189959678	0.174608558800957	0.173342000204276	0.187282337663101	0.169850688209406	0.171356058059999	0.167925308718788	0.16798218673969	0.171939221675663	0.178852443767392	0.172361249466319	0.188889610932792	0.207150909554343	0.192741237467036	0.174094634766886	0.232317104619188	0.177626759497459	0.168857932189911	0.167779586033484	0.178601308725425
e2f3	0.170731198201992	0.179486871173141	0.187114547278688	0.215653181778311	0.169601510709942	0.169349085983175	0.178728631729611	0.228837726933541	0.193473415550344	0.232448917589668	0.204036253090816	0.169083597489334	0.168601120223591	0.173069582919536	0.174959812149077	0.198884262599854	0.173912742819234	0.180906794803525	0.182497387397007	0.176537431376244	0.185907504828223	0.17619885411077	0.178584405720629	0.17000124717369	0.174649732242617	0.170663524608964	0.177541807497755	0.1696680049507	0.173992239357161	0.175242796700488	0.172456348375757	0.174584971999436	0.175644112065208	0.168355135838905	0.172254687004589	0.172719076747315	0.173747559250795	0.169179478894942	0.169485725545447	0.169190679308852	0.171801388213869	0.168991002442306	0.168591318986442	0.168368224402652	0.205032571560015	0.174237604091378	0.198964179069631	0.168816571043884	0.184047351589231	0.184061262719801	0.240323831716369	0.172296826735411	0.182857646386828	0.172850013025418	0.175470648660105	0.168966542323166	0.167962035861631	0.177037956967453	0.207373383568345	0.192104691666906	0.18383262096533	0.179124212967907	0.178771327108012	0.186679002199858	0.17174050350115	0.179693916818543	0.189600881510227	0.198064929900136	0.184114745431437	0.188366428518947	0.169258774034534	0.193015353241473	0.171290714685116	0.17375280044839	0.172644826912886	0.180521748113022	0.170311587259061	0.183741582665144	0.222690785059357	0.171253673525654	0.17711168237649	0.170522697977043	0.168463357698154	0.176676646122587	0.195116170391069	0.173090518442945	0.211199951101394	0.226688646190452	0.207350302083289	0.177733187116147	0.276785176567608	0.177564712963556	0.169737016360115	0.168375369488339	0.173675884820878
e2f5	0.169745518959315	0.168486892558402	0.16938431949813	0.175531235377873	0.167966015697978	0.169053149233437	0.170535879402362	0.205341491260647	0.176952246329583	0.198648887084118	0.180632468201863	0.170767381327221	0.168776498465344	0.168791506706694	0.170153435454055	0.204892024617457	0.189141040421521	0.175177464638311	0.182011707908924	0.172866623851052	0.189911574466718	0.174406947979588	0.184256045625853	0.174071258764361	0.188512506538198	0.174103258953993	0.179837337721091	0.172503689128696	0.188315668906315	0.172824600002739	0.172947408310501	0.176372711377199	0.182152462878977	0.168584275416448	0.172838664770998	0.17724196510107	0.174995611858454	0.169656029105546	0.169094954962607	0.167766598873718	0.170642982304153	0.170718564877881	0.173985304360437	0.167790194280059	0.210832532003872	0.174609020410185	0.195762295413853	0.169025301414973	0.17423870810387	0.18177536486951	0.228508561295182	0.170125834155499	0.176432847228278	0.170353438042568	0.174046020589508	0.169872189364725	0.174659280930884	0.17412673709182	0.240088637938669	0.236793915207448	0.185547432212524	0.187367864944948	0.225580829764119	0.197817456848276	0.173438057157222	0.192666738543475	0.206074519813648	0.186007635396485	0.177569312369373	0.222425653521069	0.171199303033063	0.20422048934788	0.173877859049553	0.180909128642717	0.171509497359996	0.18524074776374	0.168750619670751	0.168757518084671	0.176339052920346	0.170502392113042	0.168201542057612	0.167856513856747	0.167910853294472	0.173586962411437	0.183311491174028	0.170317270657558	0.193011900308119	0.206128786043665	0.181969956136975	0.171619140523977	0.243164821178976	0.176416764138044	0.170568596318901	0.169429044938477	0.168839180535468
e2f7	0.170707856367023	0.175888415689042	0.183741977526324	0.212082664957948	0.170566565035288	0.174000926558762	0.17685003768532	0.234197401849475	0.193244694938968	0.222202922012849	0.198667473885682	0.169781327318844	0.173514445038561	0.172723527824982	0.17544735200982	0.207643893611199	0.17902025264894	0.18282100420814	0.182264395676285	0.177959616535958	0.188719291197778	0.177045962935182	0.181571983744331	0.170959236651025	0.175473360437572	0.172114225600685	0.176829032952509	0.173815710621179	0.179152535923112	0.177047842548667	0.173648984910066	0.175627358914367	0.175125673185223	0.169025238516254	0.172326194291494	0.173415691433739	0.174663250858315	0.171006561957309	0.170236407187748	0.169168926851172	0.173099461679531	0.169622996270798	0.169139152779163	0.168524818953086	0.203551822858262	0.173869357982462	0.191245093896839	0.170611369488499	0.183282466606814	0.181976998998602	0.236367814637053	0.171325068884046	0.182159830035102	0.173997030837183	0.174220067625793	0.17224718898574	0.167927203893893	0.176773327216538	0.206713249759095	0.195128460002865	0.181695698242188	0.179007533981003	0.181123349342961	0.182960067527041	0.172362732110944	0.180301947697978	0.185830517416174	0.196011375492159	0.185154982611264	0.191409877590529	0.17159501543211	0.189334423992886	0.174181846429407	0.175073761398053	0.171754077543833	0.178509790980298	0.170518621742025	0.182455028300649	0.223194600804671	0.172628433402837	0.175250012743892	0.171375086678734	0.170461423812204	0.184621304952431	0.212794367521926	0.175533980560983	0.20915464408949	0.215155991167665	0.206035018634329	0.176680018897853	0.271047671607701	0.178020090672257	0.171031692473588	0.172851036418203	0.174419822874166
